method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
mobilenet_v3_small,0.75,corrosion,100,0.7645502645502645,0.030214373619617433,0.7525252525252526,0.017231032433567706,0.7777777777777778,0.05091750772173159
mobilenet_v3_small,0.75,surface_injure,151,0.8041707396546105,0.015279731622930445,0.8227098571926158,0.03730178236316328,0.7878787878787877,0.03030303030303033
mobilenet_v3_small,0.75,thunderstrike,32,0.9278752436647172,0.033763173636820215,0.8962962962962963,0.006415002990995883,0.9629629629629629,0.06415002990995845
mobilenet_v3_small,0.75,crack,73,0.8725685234305924,0.025286766994919715,0.8537037037037036,0.07034599967860213,0.9047619047619048,0.10910894511799621
mobilenet_v3_small,0.75,hide_craze,154,0.8865735767991407,0.010407270903363556,0.8961845607808341,0.01781265297239105,0.8775510204081632,0.020408163265306145
mobilenet_v3_small,1.0,craze,123,0.9146451033243487,0.049798405967838376,0.9168877099911583,0.07733737027606395,0.9135802469135802,0.021383343303319504
mobilenet_v3_small,1.0,corrosion,126,0.7912698412698412,0.027800444266884078,0.8324786324786325,0.06015175490568511,0.7555555555555555,0.019245008972987587
mobilenet_v3_small,1.0,surface_injure,185,0.8498397435897437,0.022735522193871135,0.8726478494623656,0.02977347744627494,0.8282828282828283,0.017495462702715917
mobilenet_v3_small,1.0,thunderstrike,42,0.9649122807017543,0.030386856273138228,0.9333333333333332,0.05773502691896257,1.0,0.0
mobilenet_v3_small,1.0,crack,93,0.9447534297367445,0.03596397672371421,0.8967320261437909,0.06339532367572365,1.0,0.0
mobilenet_v3_small,1.0,hide_craze,188,0.9065039349072963,0.031471398539027556,0.8890147253870101,0.028600432553738994,0.9251700680272109,0.042482979580941486
